,selected,combined_score,mutual_info,lightgbm
EXT_SOURCE_1,True,0.448723524098759,0.012969202233553911,178
BUREAU_AMT_CREDIT_SUM_SUM,True,0.4267564608831884,0.0014497499651602297,43
EXT_SOURCE_2,True,0.38257929966634013,0.012059730987101336,147
EXT_SOURCE_3,True,0.37189247479071613,0.013805260165753452,133
HAS_POS,True,0.3333333324436097,0.03746477383356517,0
HAS_PREV,True,0.32908419077506074,0.03698719443749354,0
HAS_INST,True,0.32096062370496486,0.03607415162604766,0
FLAG_DOCUMENT_3,True,0.29184518912778673,0.028381740683686818,21
AMT_CREDIT,True,0.2693902788468426,0.006507329921833227,111
AMT_ANNUITY,True,0.2645161302256593,0.011628624157653533,86
DAYS_BIRTH,True,0.26250452763065,0.003404914420194416,124
HAS_EXT_SOURCE_3,True,0.254358865348868,0.028167539648772832,2
FLAG_EMP_PHONE,True,0.24583630650210164,0.02763060494329128,0
HAS_BUREAU,True,0.23328802493530923,0.02622024934682754,0
POS_CNT_INSTALMENT_FUTURE_MEAN,True,0.23131790164982047,0.0024254777741734568,112
INST_AMT_PAYMENT_SUM,True,0.21063552559643064,0.0014081735522402106,96
CC_AMT_BALANCE_MEAN,True,0.19825696629687958,0.0012242658876158163,100
INST_DAYS_DELAY_MEAN,True,0.1964397912605017,0.0027149013722633786,92
HAS_EXT_SOURCE_1,True,0.17909162880053722,0.016550785772306176,17
DAYS_EMPLOYED,True,0.17545822660704033,0.005197635092491382,69
BUREAU_DAYS_CREDIT_MAX,True,0.17419712367241172,0.003372095007510012,77
PREV_CNT_PAYMENT_MEAN,True,0.16335956423649797,0.0017330630455862917,79
REGION_RATING_CLIENT,True,0.1597704619233609,0.01416872006669423,18
BUREAU_DAYS_CREDIT_MEAN,True,0.15016120565964425,0.005090595373370865,56
FLOORSMAX_MEDI,True,0.14643439853793164,0.012459346008944827,19
BUREAU_CREDIT_ACTIVE_Active,True,0.13020317100357834,0.005162665488826157,45
POS_MONTHS_BALANCE_MAX,True,0.12942896555184052,0.0004451715141251533,67
PREV_DAYS_DECISION_MIN,True,0.12398852469097353,0.0013070285771630274,60
CNT_FAM_MEMBERS,True,0.12228855386131166,0.011850252752745316,9
CC_AMT_BALANCE_SUM,True,0.1207981837084875,0.0014235411691565503,10
PREV_NAME_CONTRACT_STATUS_Refused,True,0.11719147595703105,0.0032792723324850392,47
DAYS_ID_PUBLISH,True,0.11699921924753574,0.0015738479708651276,55
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,True,0.10835753861774632,0.000854011443545577,51
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,True,0.10479115762889513,0.0,28
DAYS_LAST_PHONE_CHANGE,True,0.09830711293113457,0.0024196329852674836,41
INST_PAYMENT_DIFF_MEAN,True,0.09776855308684068,0.0019380862877842464,43
BUREAU_AMT_CREDIT_SUM_MEAN,True,0.0943795721636822,0.0012717465717473342,36
OWN_CAR_AGE,True,0.09234676519058192,0.001749725463666696,41
BUREAU_CREDIT_ACTIVE_Closed,True,0.09010615947695293,0.0036026566847868757,31
INST_SK_ID_PREV_COUNT,True,0.08898563393296076,0.0007405246173846081,44
DAYS_REGISTRATION,True,0.08781566283036517,0.0012404240499033214,41
PREV_AMT_ANNUITY_MEAN,True,0.08701215651950316,0.0009394036780610016,42
PREV_AMT_CREDIT_SUM,True,0.0865995828054034,0.0016162226713625216,13
PREV_DAYS_DECISION_MEAN,True,0.08310483471662206,0.0015528890853240274,37
POS_MONTHS_BALANCE_MEAN,True,0.081029553856805,0.0017405927185734082,35
POS_SK_DPD_DEF_MAX,True,0.07965430130413513,0.0005336408492218059,40
AMT_INCOME_TOTAL,True,0.0789045028767659,0.001360227472738007,35
BUREAU_DAYS_CREDIT_MIN,True,0.0741700091571405,0.0034953313736312275,23
FLAG_PHONE,True,0.07296289057135245,0.006727280796009705,7
SK_ID_CURR,True,0.06209550086559198,0.00021734779612669897,32
HAS_CC,True,0.060222347861307375,0.006768649945116723,0
BUREAU_BB_MONTHS_BALANCE_MIN_MIN,True,0.05954299762785966,0.0007989596085902217,28
BUREAU_CREDIT_TYPE_Credit card,True,0.05910314482753168,0.0034857140083690563,15
REG_CITY_NOT_WORK_CITY,True,0.05907996254213064,0.006008823547771991,3
PREV_AMT_CREDIT_MEAN,True,0.05824926226423219,0.0010053784350918527,26
INST_PAYMENT_DIFF_SUM,True,0.05771363175135896,0.0015726390343586694,23
BUREAU_CREDIT_TYPE_Microloan,True,0.05614081644488212,0.0012584787963725308,24
PREV_NAME_CONTRACT_STATUS_Approved,True,0.05355443051589175,0.0034934988006007917,12
HOUR_APPR_PROCESS_START,True,0.049760671843416905,0.0022251968353030893,16
BUREAU_CREDIT_TYPE_Consumer credit,True,0.049609938380901775,0.0026292077661136393,14
AMT_REQ_CREDIT_BUREAU_YEAR,True,0.04869487366179842,0.0031577884617899343,11
PREV_SK_ID_PREV_COUNT,True,0.048212749364514466,0.0024721716541769023,14
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,True,0.04811244743351301,0.0011498149299491445,20
FLAG_WORK_PHONE,True,0.04558386692157256,0.00343955774327398,8
BUREAU_SK_ID_BUREAU_COUNT,True,0.03914209634798128,0.0020841105342481736,11
DEF_30_CNT_SOCIAL_CIRCLE,True,0.0389954435127144,0.0018571513302849674,12
REG_CITY_NOT_LIVE_CITY,True,0.035801317804073134,0.0014981497375163855,12
ELEVATORS_AVG,True,0.03416491423428987,0.0011037510100448955,13
OBS_30_CNT_SOCIAL_CIRCLE,True,0.0328206371180124,0.0009526618952342414,13
INST_DAYS_DELAY_MAX,True,0.030730778391280536,0.0017701549019979446,8
LIVE_CITY_NOT_WORK_CITY,True,0.02994964300301366,0.0027347410393354643,3
CC_SK_DPD_DEF_MAX,True,0.029269255153862528,0.0007639829855827784,12
PREV_NAME_CONTRACT_STATUS_Canceled,True,0.025578902802970604,0.0011911133685100772,8
AMT_REQ_CREDIT_BUREAU_QRT,True,0.025066276393099617,0.0009230208127872785,9
DEF_60_CNT_SOCIAL_CIRCLE,True,0.02493760413311651,0.0006980825233393606,10
POS_SK_DPD_MEAN,True,0.02491053003839186,0.0013264683143434652,7
POS_SK_DPD_MAX,True,0.023133952951531964,0.0007058385744593831,9
BUREAU_CREDIT_TYPE_Mortgage,True,0.02235999380914817,0.00019789750105703163,11
CC_SK_DPD_MAX,True,0.020822723692637737,0.00023559331213340862,10
CNT_CHILDREN,True,0.0203573267165608,0.0020775716719281245,1
BUREAU_CREDIT_DAY_OVERDUE_MEAN,True,0.01987463751210508,0.000129033822232838,10
BUREAU_CREDIT_TYPE_Car loan,True,0.018687595545839965,0.0010479983371920465,5
BUREAU_CREDIT_DAY_OVERDUE_MAX,True,0.018176157793158506,0.001200991878745894,4
AMT_REQ_CREDIT_BUREAU_MON,True,0.015157359986017428,0.0008616961637011311,4
FLAG_DOCUMENT_6,True,0.013289465466688846,0.0014936604582220792,0
